AGE,FG3M,OREB,TOV,STL,BLK,BLKA,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.208333,0.150943,0.054545,0.192982,0.2,0,0.095238,0.531516,0.666667,1
0.291667,0.226415,0.054545,0.298246,0.2,0.027027,0.333333,0.475298,0.666667,0
0.291667,0,0.254545,0.140351,0.1,0.081081,0.142857,0.534923,0.666667,0
0.291667,0.018868,0.036364,0.140351,0.2,0,0.190476,0.478705,0.666667,0
0.5,0.301887,0.181818,0.263158,0.166667,0.027027,0.285714,0.553663,0.666667,0
0.25,0,0.436364,0.263158,0.266667,0.27027,0.238095,0.53322,0.666667,0
0.291667,0,0.527273,0.22807,0.2,0.513514,0.52381,0.488927,0.666667,0
0.333333,0.018868,0.145455,0.157895,0.166667,0.054054,0.142857,0.488927,0.666667,0
0.041667,0.113208,0.163636,0.22807,0.233333,0.081081,0.238095,0.483816,0.666667,0
0.166667,0.075472,0.090909,0.087719,0.1,0.162162,0.047619,0.526405,0.666667,0
0.208333,0.056604,0.2,0.175439,0.233333,0.081081,0.333333,0.439523,0.666667,0
0.375,0.018868,0.454545,0.561404,0.3,0.513514,0.714286,0.536627,0.666667,0
0.208333,0,0.472727,0.175439,0.233333,0.324324,0.333333,0.492334,0.666667,0
0.375,0,0.581818,0.22807,0.3,0.324324,0.333333,0.429302,0.666667,0
0.208333,0.018868,0.527273,0.473684,0.5,0.216216,0.571429,0.458262,0.666667,1
0.333333,0.169811,0.163636,0.368421,0.5,0.162162,0.142857,0.563884,0.025641,0
0.666667,0,0.218182,0.421053,0.466667,0.027027,0.333333,0.575809,0.666667,0
0.25,0.226415,0.2,0.403509,0.166667,0.189189,0.333333,0.441227,0.666667,0
0.458333,0.113208,0.290909,0.315789,0.433333,0.324324,0.285714,0.51448,0.666667,0
0.5,0.150943,0.072727,0.157895,0.1,0.081081,0.142857,0.478705,0.666667,0
0.291667,0,0.563636,0.333333,0.233333,0.702703,0.285714,0.526405,0.666667,1
0.166667,0,0.563636,0.245614,0.133333,0.540541,0.285714,0.586031,0.666667,0
0.25,0,0.454545,0.175439,0.3,0.243243,0.095238,0.454855,0.666667,0
0.208333,0.037736,0,0.245614,0.066667,0,0,0.48552,0.666667,0
0.666667,0.301887,0.272727,0.245614,0.3,0.135135,0.238095,0.412266,0.666667,0
0.708333,0.075472,0.036364,0.210526,0.266667,0.054054,0.047619,0.528109,0.666667,0
0.25,0.358491,0.109091,0.157895,0.1,0.027027,0.190476,0.487223,0.666667,0
0.708333,0.226415,0.090909,0.192982,0.3,0.027027,0.095238,0.451448,0.666667,0
0.083333,0,0.2,0.22807,0.2,0.162162,0.190476,0.463373,0.666667,0
0.291667,0.132075,0.254545,0.140351,0.133333,0.108108,0.142857,0.502555,0.666667,0
0.333333,0,0.054545,0.017544,0.033333,0,0,0.465077,0.666667,0
0.708333,0,0,0.052632,0,0,0,0.574106,0.666667,1
0.708333,0,0.309091,0.175439,0.166667,0.135135,0.047619,0.553663,0.666667,0
0.125,0.018868,0.054545,0.175439,0.033333,0,0.095238,0.512777,0.666667,0
0.25,0.283019,0.127273,0.175439,0.166667,0.108108,0.285714,0.562181,0.666667,0
0.166667,0.188679,0.163636,0.140351,0.166667,0.135135,0.142857,0.492334,0.666667,0
0.041667,0,0.018182,0.087719,0.1,0,0.095238,0.492334,0.666667,0
0.541667,0.264151,0.109091,0.438596,0.433333,0.135135,0.285714,0.519591,0.666667,0
0.375,0.245283,0.090909,0.298246,0.2,0.054054,0.190476,0.499148,0.666667,0
0.166667,0.018868,0.127273,0.105263,0.1,0.054054,0.190476,0.49063,0.666667,0
0.708333,0,0.436364,0.140351,0.333333,0.27027,0.142857,0.468484,0.666667,0
0.375,0.150943,0.090909,0.315789,0.4,0.027027,0.238095,0.465077,0.666667,0
0.125,0.018868,0.6,0.473684,0.266667,0.135135,0.52381,0.492334,0.102564,0
0.5,0,0,0,0,0,0,0.574106,0.666667,0
0.416667,0.188679,0.236364,0.350877,0.3,0.162162,0.190476,0.473595,0.153846,0
0.666667,0.132075,0.127273,0.157895,0.166667,0.108108,0.190476,0.534923,0.666667,0
0.166667,0,0.145455,0.070175,0.1,0.135135,0.142857,0.492334,0.666667,0
0.291667,0,0.327273,0.22807,0.133333,0.189189,0.285714,0.558773,0.666667,0
0.083333,0.301887,0.127273,0.403509,0.5,0.081081,0.380952,0.504259,0.153846,0
0.291667,0.150943,0.109091,0.210526,0.266667,0.081081,0.238095,0.551959,0.666667,1
0.25,0.264151,0.090909,0.175439,0.2,0.135135,0.238095,0.470187,0.666667,0
0.5,0,0.327273,0.122807,0.066667,0.27027,0.190476,0.519591,0.666667,0
0.625,0.150943,0.036364,0.052632,0.133333,0.027027,0.047619,0.51448,0.666667,0
0.458333,0.169811,0.090909,0.105263,0.1,0.081081,0.095238,0.511073,0.666667,0
0.583333,0,0.018182,0.052632,0.066667,0.054054,0.047619,0.516184,0.666667,0
0.666667,0,0,0,0,0,0,0.429302,0.666667,0
0.166667,0,0.436364,0.368421,0.2,0.405405,0.47619,0.458262,0.666667,0
0.125,0,0.090909,0.105263,0.066667,0.054054,0.095238,0.499148,0.666667,0
0.333333,0.09434,0.036364,0.157895,0.233333,0.027027,0.142857,0.551959,0.666667,0
0.208333,0.264151,0.127273,0.210526,0.3,0.135135,0.285714,0.534923,0.666667,0
0.333333,0,0.4,0.245614,0.166667,0.108108,0.333333,0.48552,0.666667,0
0.5,0.09434,0.054545,0.157895,0.1,0,0,0.550256,0.666667,0
0.416667,0,0.4,0.438596,0.266667,0.081081,0.714286,0.603066,0.666667,0
0.375,0.396226,0.090909,0.210526,0.533333,0.054054,0.285714,0.494037,0.666667,1
0.333333,0.226415,0.272727,0.473684,0.3,0.162162,0.666667,0.563884,0.666667,0
0.5,0.188679,0.145455,0.298246,0.333333,0.081081,0.333333,0.609881,0.666667,0
0.291667,0.150943,0.072727,0.052632,0.1,0.027027,0.095238,0.529813,0.666667,0
0.375,0.415094,0.145455,0.157895,0.2,0.27027,0.095238,0.545145,0.666667,0
0.541667,0.056604,0.054545,0.052632,0.1,0.027027,0.095238,0.522998,0.666667,0
0.291667,0.301887,0.127273,0.157895,0.2,0.162162,0.047619,0.492334,0.666667,0
0.166667,0.207547,0.127273,0.157895,0.166667,0.054054,0.285714,0.553663,0.666667,0
0.625,0.377358,0.054545,0.438596,0.333333,0.054054,0.285714,0.551959,0.666667,0
0.541667,0,0.309091,0.105263,0.166667,0.351351,0.190476,0.55707,0.666667,0
0.333333,0.018868,0.327273,0.315789,0.266667,0.162162,0.333333,0.657581,0.666667,0
0.208333,0.056604,0.036364,0.140351,0.233333,0.081081,0.333333,0.51448,0.666667,0
0.375,0.056604,0.036364,0.210526,0.1,0,0.142857,0.522998,0.666667,0
0.25,0,0.163636,0.122807,0.066667,0.162162,0.047619,0.454855,0.666667,0
0.416667,0,0.290909,0.315789,0.166667,0.405405,0.333333,0.499148,0.666667,0
0.291667,0.169811,0.090909,0.385965,0.8,0.027027,0.190476,0.577513,0.666667,1
0.333333,0.056604,0.018182,0.052632,0.033333,0,0.047619,0.507666,0.666667,0
0.375,0,0.309091,0.140351,0.166667,0.081081,0.142857,0.521295,0.666667,0
0.125,0.113208,0.109091,0.192982,0.266667,0.162162,0.238095,0.444634,0.666667,0
0.375,0,0.545455,0.210526,0.366667,0.189189,0.47619,0.570698,0.153846,0
0.125,0,0.127273,0.070175,0.1,0.108108,0.047619,0.529813,0.666667,0
0.25,0.075472,0.145455,0.22807,0.466667,0.054054,0.190476,0.49063,0.666667,1
0.5,0.075472,0.127273,0.333333,0.1,0.027027,0.285714,0.500852,0.666667,0
0.25,0.169811,0.109091,0.140351,0.233333,0.054054,0.142857,0.524702,0.666667,0
0.166667,0,0.127273,0,0.1,0,0.142857,0.459966,0.666667,1
0.333333,0,0.163636,0.122807,0.1,0.027027,0.190476,0.502555,0.666667,0
0.166667,0.264151,0.090909,0.333333,0.233333,0,0.47619,0.470187,0.666667,0
0.458333,0,0.163636,0.087719,0.033333,0.189189,0.047619,0.507666,0.666667,0
0.208333,0,0.163636,0.052632,0.1,0.108108,0.095238,0.511073,0.666667,0
0.166667,0.075472,0.018182,0.105263,0.033333,0,0.142857,0.505963,0.666667,0
0.208333,0.283019,0.036364,0.070175,0.1,0,0.047619,0.553663,0.666667,0
0.458333,0.056604,0.018182,0.122807,0.133333,0.054054,0.142857,0.50937,0.666667,1
0.5,0,0.072727,0.070175,0.166667,0.054054,0.095238,0.483816,0.666667,0
0.166667,0,0.127273,0.175439,0.2,0.135135,0.190476,0.502555,0.666667,1
0.583333,0,0.309091,0.122807,0.1,0.189189,0.095238,0.497445,0.666667,0
0.25,0.339623,0.072727,0.210526,0.233333,0.081081,0.285714,0.473595,0.666667,0
0.125,0.320755,0.181818,0.22807,0.266667,0.108108,0.190476,0.541738,0.666667,0
0.375,0.377358,0.2,0.45614,0.366667,0.216216,0.619048,0.519591,0.666667,1
0.208333,0.169811,0.072727,0.105263,0.1,0.027027,0.047619,0.562181,0.666667,0
0.208333,0,0.218182,0.122807,0.233333,0.162162,0.142857,0.492334,0.666667,0
0.583333,0,0.036364,0.070175,0,0,0.047619,0.488927,0.666667,0
0.291667,0,0.345455,0.385965,0.266667,0.540541,0.285714,0.463373,0.666667,0
0.25,0.018868,0.145455,0.070175,0.066667,0.027027,0.095238,0.500852,0.666667,0
0.166667,0,0.254545,0.192982,0.233333,0.216216,0.190476,0.531516,0.666667,0
0.166667,0.09434,0.090909,0.438596,0.366667,0.054054,0.333333,0.494037,0.666667,0
0.5,0.037736,0.090909,0.105263,0.033333,0.054054,0.142857,0.531516,0.666667,0
0.375,0,0.545455,0.403509,0.333333,0.108108,0.428571,0.495741,0.666667,0
0.458333,0,0.4,0.350877,0.333333,0.243243,0.47619,0.558773,0.666667,0
0.125,0,0.472727,0.22807,0.166667,0.486486,0.190476,0.500852,0.666667,1
0.125,0,0.490909,0.245614,0.4,0.135135,0.380952,0.551959,0.666667,0
0.083333,0.018868,0.163636,0.315789,0.333333,0.108108,0.52381,0.437819,0.666667,0
0.041667,0,0.490909,0.578947,0.333333,0.216216,0.666667,0.46678,0.666667,0
0.208333,0,0.036364,0,0.033333,0.027027,0.095238,0.53322,0.666667,1
0.416667,0,0.145455,0.122807,0.1,0.243243,0.047619,0.480409,0.666667,0
0.458333,0.245283,0.054545,0.105263,0.1,0.027027,0.095238,0.529813,0.666667,1
0.333333,0.09434,0.054545,0.22807,0.266667,0.108108,0.190476,0.46167,0.666667,0
0.708333,0.150943,0.036364,0.157895,0.4,0.027027,0.142857,0.616695,0.666667,0
0.333333,0.301887,0.109091,0.614035,0.4,0.054054,0.428571,0.492334,0.666667,0
0.166667,0.018868,0.145455,0.122807,0.133333,0.054054,0.095238,0.507666,0.666667,0
0.166667,0,0.090909,0.087719,0.033333,0.054054,0.095238,0.499148,0.666667,0
0,0,0.4,0.175439,0.133333,0.243243,0.190476,0.471891,0.666667,1
0.125,0.301887,0.181818,0.596491,0.333333,0.162162,0.761905,0.62862,0.153846,0
0.083333,0.018868,0.145455,0.052632,0.066667,0.081081,0.142857,0.487223,0.666667,0
0.375,0.150943,0.036364,0.508772,0.333333,0.027027,0.380952,0.473595,0.666667,0
0.166667,0,0.090909,0.175439,0,0,0,0.591141,0.666667,0
0.583333,0.169811,0.127273,0.333333,0.166667,0.162162,0.190476,0.647359,0.666667,0
0.25,0,0.218182,0.087719,0.066667,0.162162,0.190476,0.499148,0.666667,0
