W,MIN,FGM,FG3M,AST,STL,BLK,PLUS_MINUS,PLUS_MINUS_RANK,All_Star_Selection
0.30137,0.362587,0.2,0.150943,0.188034,0.2,0,0.531516,0.264901,1
0.356164,0.498845,0.321739,0.226415,0.333333,0.2,0.027027,0.475298,0.622517,0
0.287671,0.293303,0.121739,0,0.034188,0.1,0.081081,0.534923,0.238411,0
0.273973,0.323326,0.13913,0.018868,0.136752,0.2,0,0.478705,0.607616,0
0.616438,0.52194,0.330435,0.301887,0.119658,0.166667,0.027027,0.553663,0.15894,0
0.561644,0.806005,0.582609,0,0.299145,0.266667,0.27027,0.53322,0.263245,0
0.534247,0.82448,0.695652,0,0.153846,0.2,0.513514,0.488927,0.556291,0
0.287671,0.445727,0.252174,0.018868,0.076923,0.166667,0.054054,0.488927,0.554636,0
0.424658,0.408776,0.173913,0.113208,0.059829,0.233333,0.081081,0.483816,0.574503,0
0.082192,0.226328,0.147826,0.075472,0.025641,0.1,0.162162,0.526405,0.296358,0
0.219178,0.457275,0.191304,0.056604,0.059829,0.233333,0.081081,0.439523,0.720199,0
0.534247,0.845266,0.826087,0.018868,0.222222,0.3,0.513514,0.536627,0.235099,0
0.273973,0.588915,0.33913,0,0.094017,0.233333,0.324324,0.492334,0.511589,0
0.109589,0.736721,0.321739,0,0.128205,0.3,0.324324,0.429302,0.735099,0
0.287671,0.778291,0.582609,0.018868,0.196581,0.5,0.216216,0.458262,0.690397,1
0.493151,0.845266,0.434783,0.169811,0.538462,0.5,0.162162,0.563884,0.110927,0
0.643836,0.750577,0.417391,0,0.598291,0.466667,0.027027,0.575809,0.086093,0
0.260274,0.819861,0.695652,0.226415,0.153846,0.166667,0.189189,0.441227,0.716887,0
0.452055,0.715935,0.347826,0.113208,0.25641,0.433333,0.324324,0.51448,0.362583,0
0.315068,0.39261,0.191304,0.150943,0.068376,0.1,0.081081,0.478705,0.60596,0
0.383562,0.810624,0.486957,0,0.17094,0.233333,0.702703,0.526405,0.301325,1
0.493151,0.637413,0.382609,0,0.119658,0.133333,0.540541,0.586031,0.066225,0
0.356164,0.542725,0.208696,0,0.08547,0.3,0.243243,0.454855,0.69702,0
0.027397,0.106236,0.052174,0.037736,0.051282,0.066667,0,0.48552,0.571192,0
0.123288,0.755196,0.582609,0.301887,0.145299,0.3,0.135135,0.412266,0.745033,0
0.273973,0.318707,0.121739,0.075472,0.179487,0.266667,0.054054,0.528109,0.291391,0
0.232877,0.734411,0.417391,0.358491,0.102564,0.1,0.027027,0.487223,0.561258,0
0.246575,0.665127,0.269565,0.226415,0.25641,0.3,0.027027,0.451448,0.706954,0
0.150685,0.334873,0.269565,0,0.068376,0.2,0.162162,0.463373,0.673841,0
0.164384,0.48037,0.191304,0.132075,0.111111,0.133333,0.108108,0.502555,0.448675,0
0.027397,0.099307,0.008696,0,0,0.033333,0,0.465077,0.665563,0
0.013699,0.198614,0.043478,0,0.042735,0,0,0.574106,0.09106,1
0.739726,0.43418,0.2,0,0.102564,0.166667,0.135135,0.553663,0.147351,0
0.273973,0.163972,0.104348,0.018868,0.102564,0.033333,0,0.512777,0.375828,0
0.547945,0.773672,0.391304,0.283019,0.205128,0.166667,0.108108,0.562181,0.119205,0
0.356164,0.459584,0.234783,0.188679,0.094017,0.166667,0.135135,0.492334,0.528146,0
0.287671,0.115473,0.06087,0,0.034188,0.1,0,0.492334,0.519868,0
0.328767,0.65127,0.434783,0.264151,0.57265,0.433333,0.135135,0.519591,0.337748,0
0.410959,0.595843,0.356522,0.245283,0.179487,0.2,0.054054,0.499148,0.468543,0
0.082192,0.235566,0.130435,0.018868,0.136752,0.1,0.054054,0.49063,0.539735,0
0.273973,0.524249,0.104348,0,0.111111,0.333333,0.27027,0.468484,0.652318,0
0.328767,0.794457,0.452174,0.150943,0.418803,0.4,0.027027,0.465077,0.667219,0
0.438356,0.87067,0.73913,0.018868,0.324786,0.266667,0.135135,0.492334,0.514901,0
0.027397,0.17552,0,0,0.08547,0,0,0.574106,0.09106,0
0.465753,0.778291,0.4,0.188679,0.350427,0.3,0.162162,0.473595,0.627483,0
0.438356,0.385681,0.191304,0.132075,0.205128,0.166667,0.108108,0.534923,0.245033,0
0.191781,0.230947,0.13913,0,0.025641,0.1,0.135135,0.492334,0.521523,0
0.671233,0.598152,0.382609,0,0.068376,0.133333,0.189189,0.558773,0.130795,0
0.369863,0.789838,0.495652,0.301887,0.410256,0.5,0.081081,0.504259,0.430464,0
0.342466,0.639723,0.382609,0.150943,0.230769,0.266667,0.081081,0.551959,0.162252,1
0.369863,0.600462,0.278261,0.264151,0.076923,0.2,0.135135,0.470187,0.645695,0
0.684932,0.422633,0.156522,0,0.025641,0.066667,0.27027,0.519591,0.334437,0
0.506849,0.249423,0.069565,0.150943,0.059829,0.133333,0.027027,0.51448,0.359272,0
0.109589,0.254042,0.156522,0.169811,0.034188,0.1,0.081081,0.511073,0.385762,0
0.164384,0.108545,0.052174,0,0.025641,0.066667,0.054054,0.516184,0.354305,0
0.027397,0.062356,0,0,0,0,0,0.429302,0.733444,0
0.328767,0.808314,0.686957,0,0.136752,0.2,0.405405,0.458262,0.695364,0
0.109589,0.145497,0.06087,0,0,0.066667,0.054054,0.499148,0.466887,0
0.849315,0.30254,0.156522,0.09434,0.196581,0.233333,0.027027,0.551959,0.163907,0
0.493151,0.577367,0.408696,0.264151,0.145299,0.3,0.135135,0.534923,0.246689,0
0.342466,0.605081,0.391304,0,0.068376,0.166667,0.108108,0.48552,0.569536,0
0.589041,0.422633,0.165217,0.09434,0.17094,0.1,0,0.550256,0.182119,0
0.643836,0.732102,0.634783,0,0.213675,0.266667,0.081081,0.603066,0.031457,0
0.287671,0.745958,0.356522,0.396226,0.196581,0.533333,0.054054,0.494037,0.504967,1
0.589041,0.819861,0.773913,0.226415,0.247863,0.3,0.162162,0.563884,0.114238,0
0.287671,0.685912,0.513043,0.188679,0.136752,0.333333,0.081081,0.609881,0.029801,0
0.260274,0.235566,0.121739,0.150943,0.025641,0.1,0.027027,0.529813,0.281457,0
0.534247,0.757506,0.4,0.415094,0.102564,0.2,0.27027,0.545145,0.19702,0
0.09589,0.203233,0.052174,0.056604,0.059829,0.1,0.027027,0.522998,0.321192,0
0.369863,0.501155,0.356522,0.301887,0.051282,0.2,0.162162,0.492334,0.518212,0
0.561644,0.510393,0.313043,0.207547,0.136752,0.166667,0.054054,0.553663,0.149007,0
0.520548,0.736721,0.408696,0.377358,0.461538,0.333333,0.054054,0.551959,0.178808,0
0.39726,0.371824,0.156522,0,0.034188,0.166667,0.351351,0.55707,0.135762,0
0.753425,0.833718,0.591304,0.018868,0.162393,0.266667,0.162162,0.657581,0,0
0.260274,0.459584,0.234783,0.056604,0.094017,0.233333,0.081081,0.51448,0.364238,0
0.493151,0.34642,0.086957,0.056604,0.196581,0.1,0,0.522998,0.319536,0
0.136986,0.224018,0.052174,0,0.017094,0.066667,0.162162,0.454855,0.698675,0
0.150685,0.600462,0.478261,0,0.119658,0.166667,0.405405,0.499148,0.471854,0
0.616438,0.82679,0.469565,0.169811,0.837607,0.8,0.027027,0.577513,0.082781,1
0.452055,0.159353,0.069565,0.056604,0.08547,0.033333,0,0.507666,0.410596,0
0.30137,0.399538,0.286957,0,0.068376,0.166667,0.081081,0.521295,0.332781,0
0.136986,0.491917,0.26087,0.113208,0.068376,0.266667,0.162162,0.444634,0.715232,0
0.561644,0.644342,0.286957,0,0.230769,0.366667,0.189189,0.570698,0.104305,0
0.150685,0.177829,0.034783,0,0.017094,0.1,0.108108,0.529813,0.278146,0
0.30137,0.501155,0.243478,0.075472,0.111111,0.466667,0.054054,0.49063,0.534768,1
0.342466,0.47806,0.330435,0.075472,0.111111,0.1,0.027027,0.500852,0.461921,0
0.589041,0.487298,0.269565,0.169811,0.102564,0.233333,0.054054,0.524702,0.304636,0
0,0.247113,0.113043,0,0.025641,0.1,0,0.459966,0.68543,1
0.232877,0.277136,0.191304,0,0.051282,0.1,0.027027,0.502555,0.443709,0
0.465753,0.771363,0.426087,0.264151,0.521368,0.233333,0,0.470187,0.647351,0
0.273973,0.180139,0.052174,0,0.008547,0.033333,0.189189,0.507666,0.410596,0
0.315068,0.332564,0.208696,0,0.034188,0.1,0.108108,0.511073,0.389073,0
0.068493,0.203233,0.113043,0.075472,0.008547,0.033333,0,0.505963,0.42053,0
0.410959,0.316397,0.156522,0.283019,0.042735,0.1,0,0.553663,0.153974,0
0.30137,0.297921,0.191304,0.056604,0.059829,0.133333,0.054054,0.50937,0.405629,1
0.342466,0.295612,0.113043,0,0.068376,0.166667,0.054054,0.483816,0.581126,0
0.09589,0.367206,0.156522,0,0.068376,0.2,0.135135,0.502555,0.442053,1
0.178082,0.249423,0.113043,0,0.025641,0.1,0.189189,0.497445,0.478477,0
0.246575,0.637413,0.33913,0.339623,0.25641,0.233333,0.081081,0.473595,0.625828,0
0.465753,0.778291,0.373913,0.320755,0.145299,0.266667,0.108108,0.541738,0.215232,0
0.493151,0.803695,0.591304,0.377358,0.222222,0.366667,0.216216,0.519591,0.339404,1
0.068493,0.258661,0.182609,0.169811,0.025641,0.1,0.027027,0.562181,0.120861,0
0.534247,0.48037,0.243478,0,0.051282,0.233333,0.162162,0.492334,0.516556,0
0.054795,0.159353,0.06087,0,0.017094,0,0,0.488927,0.548013,0
0.205479,0.558891,0.33913,0,0.128205,0.266667,0.540541,0.463373,0.668874,0
0.246575,0.184758,0.113043,0.018868,0.017094,0.066667,0.027027,0.500852,0.451987,0
0.616438,0.459584,0.33913,0,0.059829,0.233333,0.216216,0.531516,0.271523,0
0.493151,0.685912,0.434783,0.09434,0.435897,0.366667,0.054054,0.494037,0.508278,0
0.232877,0.210162,0.121739,0.037736,0.025641,0.033333,0.054054,0.531516,0.268212,0
0.479452,0.829099,0.591304,0,0.273504,0.333333,0.108108,0.495741,0.495033,0
0.547945,0.803695,0.652174,0,0.196581,0.333333,0.243243,0.558773,0.129139,0
0.424658,0.586605,0.252174,0,0.042735,0.166667,0.486486,0.500852,0.450331,1
0.821918,0.489607,0.313043,0,0.08547,0.4,0.135135,0.551959,0.172185,0
0.30137,0.799076,0.573913,0.018868,0.153846,0.333333,0.108108,0.437819,0.721854,0
0.315068,0.65358,0.46087,0,0.213675,0.333333,0.216216,0.46678,0.660596,0
0.09589,0.092379,0.026087,0,0.025641,0.033333,0.027027,0.53322,0.261589,1
0.082192,0.256351,0.043478,0,0.034188,0.1,0.243243,0.480409,0.594371,0
0.671233,0.367206,0.156522,0.245283,0.094017,0.1,0.027027,0.529813,0.274834,1
0.178082,0.431871,0.2,0.09434,0.230769,0.266667,0.108108,0.46167,0.682119,0
0.780822,0.642032,0.217391,0.150943,0.230769,0.4,0.027027,0.616695,0.023179,0
0.452055,0.87067,0.573913,0.301887,0.880342,0.4,0.054054,0.492334,0.523179,0
0.30137,0.265589,0.130435,0.018868,0.059829,0.133333,0.054054,0.507666,0.40894,0
0.39726,0.115473,0.069565,0,0.017094,0.033333,0.054054,0.499148,0.465232,0
0.342466,0.450346,0.243478,0,0.042735,0.133333,0.243243,0.471891,0.637417,1
0.849315,0.859122,0.765217,0.301887,0.65812,0.333333,0.162162,0.62862,0.018212,0
0.205479,0.13164,0.095652,0.018868,0.008547,0.066667,0.081081,0.487223,0.562914,0
0.328767,0.727483,0.417391,0.150943,0.606838,0.333333,0.027027,0.473595,0.63245,0
0.027397,0.124711,0.043478,0,0,0,0,0.591141,0.049669,0
0.753425,0.787529,0.730435,0.169811,0.222222,0.166667,0.162162,0.647359,0.008278,0
0.246575,0.332564,0.121739,0,0.068376,0.066667,0.162162,0.499148,0.47351,0
0.136986,0.168591,0.069565,0,0.094017,0.1,0.054054,0.502555,0.43543,0
0.287671,0.371824,0.2,0.132075,0.059829,0.166667,0.081081,0.495741,0.498344,1
0.493151,0.882217,0.513043,0.45283,0.25641,0.5,0.216216,0.495741,0.491722,0
0.191781,0.56351,0.391304,0.018868,0.111111,0.2,0.135135,0.504259,0.425497,0
0.69863,0.863741,0.686957,0,0.119658,0.466667,0.648649,0.632027,0.016556,0
0.739726,0.852194,0.791304,0.150943,0.393162,0.5,0.297297,0.65247,0.004967,0
0.136986,0.330254,0.130435,0,0.042735,0.133333,0.081081,0.495741,0.493377,0
0.315068,0.344111,0.234783,0.09434,0.213675,0.233333,0.027027,0.534923,0.241722,0
0.383562,0.249423,0.13913,0,0.017094,0.066667,0.108108,0.500852,0.453642,0
0.506849,0.448037,0.13913,0.09434,0.299145,0.266667,0.054054,0.524702,0.311258,0
0.219178,0.56351,0.286957,0,0.051282,0.2,0.27027,0.434412,0.725166,0
0.534247,0.399538,0.2,0.226415,0.094017,0.2,0.027027,0.555366,0.145695,1
0.191781,0.272517,0.069565,0.075472,0.051282,0.133333,0.054054,0.528109,0.284768,0
0.383562,0.406467,0.147826,0,0.059829,0.133333,0.405405,0.553663,0.150662,0
0.561644,0.796767,0.53913,0,0.128205,0.366667,0.351351,0.551959,0.172185,0
0.589041,0.729792,0.365217,0,0.051282,0.2,0.486486,0.55707,0.135762,0
0.438356,0.51963,0.217391,0.075472,0.307692,0.366667,0.081081,0.477002,0.615894,0
0.342466,0.866051,0.66087,0.358491,0.376068,0.433333,0.081081,0.522998,0.31457,0
0.753425,0.332564,0.13913,0.09434,0.247863,0.133333,0.027027,0.563884,0.115894,0
0.493151,0.364896,0.086957,0,0.034188,0.1,0.243243,0.560477,0.124172,0
0.342466,0.575058,0.321739,0.113208,0.076923,0.3,0.108108,0.540034,0.226821,0
0.082192,0.140878,0.069565,0,0.017094,0.033333,0.081081,0.488927,0.548013,0
0.547945,0.526559,0.252174,0.037736,0.17094,0.2,0.054054,0.512777,0.377483,1
0.054795,0.200924,0.052174,0,0,0,0,0.454855,0.698675,0
0.465753,0.221709,0.078261,0,0.042735,0.1,0.054054,0.505963,0.418874,0
0.246575,0.547344,0.313043,0.264151,0.102564,0.3,0.216216,0.488927,0.544702,0
0.013699,0.039261,0,0,0,0,0,0.488927,0.548013,0
0.136986,0.106236,0.069565,0,0.008547,0,0.054054,0.50937,0.39404,0
0.164384,0.21709,0.069565,0.075472,0.111111,0.166667,0.081081,0.500852,0.456954,0
