AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.208333,0.30137,0.531516,0.450777,0.476684,0.386447,0.581181,0.624101,0.632302,0.374322,0.809249,0.264901,1
0.291667,0.356164,0.475298,0.390328,0.47323,0.250916,0.053506,0.616906,0.664948,0.37613,0.753372,0.622517,0
0.291667,0.287671,0.534923,0.466321,0.352332,0.608059,0.732472,0.17446,0.28866,0.663653,0.427746,0.238411,0
0.291667,0.273973,0.478705,0.481865,0.540587,0.483516,0.45941,0.690647,0.649485,0.34358,0.818882,0.607616,0
0.5,0.616438,0.553663,0.117444,0.196891,0.388278,0.457565,0.258993,0.180412,0.403255,0.626204,0.15894,0
0.25,0.561644,0.53322,0.164076,0.307427,0.238095,0.254613,0.06295,0.017182,0.249548,0.078998,0.263245,0
0.291667,0.534247,0.488927,0.198618,0.42487,0.130037,0.370849,0.032374,0.020619,0.38698,0.015414,0.556291,0
0.333333,0.287671,0.488927,0.466321,0.651123,0.300366,0.313653,0.368705,0.388316,0.435805,0.579961,0.554636,0
0.041667,0.424658,0.483816,0.326425,0.556131,0.435897,0.319188,0.302158,0.350515,0.280289,0.406551,0.574503,0
0.166667,0.082192,0.526405,0.702936,0.756477,0.712454,0.48524,0.510791,0.474227,0.607595,0.217726,0.296358,0
0.208333,0.219178,0.439523,0.569948,0.66494,0.379121,0.293358,0.241007,0.402062,0.289331,0.38921,0.720199,0
0.375,0.534247,0.536627,0.198618,0.369603,0.014652,0.265683,0.055755,0.061856,0.18264,0.011561,0.235099,0
0.208333,0.273973,0.492334,0.481865,0.675302,0.272894,0.276753,0.048561,0.154639,0.271248,0.057803,0.511589,0
0.375,0.109589,0.429302,0.673575,0.694301,0.217949,0.581181,0.016187,0.030928,0.200723,0.055877,0.735099,0
0.208333,0.287671,0.458262,0.466321,0.620035,0.082418,0.311808,0.034173,0.070447,0.025316,0.123314,0.690397,1
0.333333,0.493151,0.563884,0.248705,0.298791,0.076923,0.538745,0.307554,0.089347,0.03255,0.208092,0.110927,0
0.666667,0.643836,0.575809,0.1019,0.243523,0.120879,0.110701,0.223022,0.323024,0.045208,0.606936,0.086093,0
0.25,0.260274,0.441227,0.499136,0.663212,0.049451,0.190037,0.239209,0.132302,0.41953,0.148362,0.716887,0
0.458333,0.452055,0.51448,0.298791,0.341969,0.084249,0.332103,0.151079,0.175258,0.061483,0.063584,0.362583,0
0.5,0.315068,0.478705,0.433506,0.500864,0.516484,0.234317,0.609712,0.281787,0.665461,0.445087,0.60596,0
0.291667,0.383562,0.526405,0.364421,0.490501,0.14652,0.778598,0.023381,0.005155,0.282098,0,0.301325,1
0.166667,0.493151,0.586031,0.248705,0.162349,0.106227,0.603321,0.017986,0.042955,0.567812,0.009634,0.066225,0
0.25,0.356164,0.454855,0.390328,0.47323,0.714286,0.798893,0.057554,0.09622,0.19349,0.1079,0.69702,0
0.208333,0.027397,0.48552,0.744387,0.528497,0.736264,0.732472,0.785971,0.761168,0.696203,0.818882,0.571192,0
0.666667,0.123288,0.412266,0.663212,0.763385,0.087912,0.468635,0.152878,0.079038,0.188065,0.233141,0.745033,0
0.708333,0.273973,0.528109,0.481865,0.208981,0.776557,0,0.703237,0.587629,0.231465,0.56262,0.291391,0
0.25,0.232877,0.487223,0.542314,0.65285,0.335165,0.038745,0.446043,0.359107,0.60217,0.645472,0.561258,0
0.708333,0.246575,0.451448,0.521589,0.699482,0.472527,0.306273,0.548561,0.316151,0.168174,0.624277,0.706954,0
