AGE,FG3M,FTM,FTA,OREB,TOV,STL,BLK,BLKA,PFD,DD2_RANK,TD3_RANK,All_Star_Selection
0.208333,0.150943,0.107843,0.130081,0.054545,0.192982,0.2,0,0.095238,0.153061,0.835206,0.666667,1
0.291667,0.226415,0.205882,0.195122,0.054545,0.298246,0.2,0.027027,0.333333,0.214286,0.573034,0.666667,0
0.291667,0,0.039216,0.065041,0.254545,0.140351,0.1,0.081081,0.142857,0.071429,0.573034,0.666667,0
0.291667,0.018868,0.088235,0.105691,0.036364,0.140351,0.2,0,0.190476,0.122449,0.835206,0.666667,0
0.5,0.301887,0.117647,0.130081,0.181818,0.263158,0.166667,0.027027,0.285714,0.153061,0.674157,0.666667,0
0.25,0,0.186275,0.195122,0.436364,0.263158,0.266667,0.27027,0.238095,0.234694,0.029963,0.666667,0
0.291667,0,0.264706,0.284553,0.527273,0.22807,0.2,0.513514,0.52381,0.316327,0.022472,0.666667,0
0.333333,0.018868,0.147059,0.162602,0.145455,0.157895,0.166667,0.054054,0.142857,0.163265,0.835206,0.666667,0
0.041667,0.113208,0.107843,0.121951,0.163636,0.22807,0.233333,0.081081,0.238095,0.112245,0.835206,0.666667,0
0.166667,0.075472,0.039216,0.04065,0.090909,0.087719,0.1,0.162162,0.047619,0.061224,0.835206,0.666667,0
0.208333,0.056604,0.127451,0.130081,0.2,0.175439,0.233333,0.081081,0.333333,0.112245,0.835206,0.666667,0
0.375,0.018868,0.598039,0.626016,0.454545,0.561404,0.3,0.513514,0.714286,0.622449,0.089888,0.666667,0
0.208333,0,0.176471,0.178862,0.472727,0.175439,0.233333,0.324324,0.333333,0.22449,0.209738,0.666667,0
0.375,0,0.166667,0.211382,0.581818,0.22807,0.3,0.324324,0.333333,0.285714,0.307116,0.666667,0
0.208333,0.018868,0.333333,0.357724,0.527273,0.473684,0.5,0.216216,0.571429,0.367347,0.153558,0.666667,1
0.333333,0.169811,0.303922,0.365854,0.163636,0.368421,0.5,0.162162,0.142857,0.377551,0.209738,0.025641,0
0.666667,0,0.303922,0.292683,0.218182,0.421053,0.466667,0.027027,0.333333,0.285714,0.209738,0.666667,0
0.25,0.226415,0.421569,0.430894,0.2,0.403509,0.166667,0.189189,0.333333,0.459184,0.573034,0.666667,0
0.458333,0.113208,0.323529,0.341463,0.290909,0.315789,0.433333,0.324324,0.285714,0.316327,0.411985,0.666667,0
0.5,0.150943,0.088235,0.089431,0.072727,0.157895,0.1,0.081081,0.142857,0.112245,0.573034,0.666667,0
0.291667,0,0.147059,0.268293,0.563636,0.333333,0.233333,0.702703,0.285714,0.377551,0.101124,0.666667,1
0.166667,0,0.254902,0.317073,0.563636,0.245614,0.133333,0.540541,0.285714,0.285714,0.153558,0.666667,0
0.25,0,0.019608,0.04065,0.454545,0.175439,0.3,0.243243,0.095238,0.091837,0.479401,0.666667,0
0.208333,0.037736,0.019608,0.03252,0,0.245614,0.066667,0,0,0.020408,0.835206,0.666667,0
0.666667,0.301887,0.303922,0.341463,0.272727,0.245614,0.3,0.135135,0.238095,0.377551,0.228464,0.666667,0
0.708333,0.075472,0.019608,0.01626,0.036364,0.210526,0.266667,0.054054,0.047619,0.040816,0.835206,0.666667,0
0.25,0.358491,0.166667,0.146341,0.109091,0.157895,0.1,0.027027,0.190476,0.132653,0.835206,0.666667,0
0.708333,0.226415,0.098039,0.105691,0.090909,0.192982,0.3,0.027027,0.095238,0.153061,0.835206,0.666667,0
0.083333,0,0.147059,0.178862,0.2,0.22807,0.2,0.162162,0.190476,0.183673,0.378277,0.666667,0
0.291667,0.132075,0.156863,0.162602,0.254545,0.140351,0.133333,0.108108,0.142857,0.22449,0.479401,0.666667,0
0.333333,0,0,0,0.054545,0.017544,0.033333,0,0,0.010204,0.835206,0.666667,0
0.708333,0,0.04902,0.04065,0,0.052632,0,0,0,0.081633,0.835206,0.666667,1
0.708333,0,0.068627,0.089431,0.309091,0.175439,0.166667,0.135135,0.047619,0.102041,0.378277,0.666667,0
0.125,0.018868,0.029412,0.04878,0.054545,0.175439,0.033333,0,0.095238,0.061224,0.835206,0.666667,0
0.25,0.283019,0.196078,0.195122,0.127273,0.175439,0.166667,0.108108,0.285714,0.173469,0.479401,0.666667,0
0.166667,0.188679,0.107843,0.121951,0.163636,0.140351,0.166667,0.135135,0.142857,0.132653,0.835206,0.666667,0
0.041667,0,0.019608,0.03252,0.018182,0.087719,0.1,0,0.095238,0.040816,0.835206,0.666667,0
0.541667,0.264151,0.166667,0.186992,0.109091,0.438596,0.433333,0.135135,0.285714,0.183673,0.307116,0.666667,0
0.375,0.245283,0.166667,0.162602,0.090909,0.298246,0.2,0.054054,0.190476,0.163265,0.835206,0.666667,0
0.166667,0.018868,0.078431,0.105691,0.127273,0.105263,0.1,0.054054,0.190476,0.091837,0.835206,0.666667,0
0.708333,0,0.039216,0.089431,0.436364,0.140351,0.333333,0.27027,0.142857,0.153061,0.674157,0.666667,0
0.375,0.150943,0.245098,0.235772,0.090909,0.315789,0.4,0.027027,0.238095,0.255102,0.411985,0.666667,0
0.125,0.018868,0.529412,0.691057,0.6,0.473684,0.266667,0.135135,0.52381,0.765306,0.007491,0.102564,0
0.5,0,0,0,0,0,0,0,0,0,0.835206,0.666667,0
0.416667,0.188679,0.098039,0.121951,0.236364,0.350877,0.3,0.162162,0.190476,0.173469,0.378277,0.153846,0
0.666667,0.132075,0.127451,0.130081,0.127273,0.157895,0.166667,0.108108,0.190476,0.163265,0.674157,0.666667,0
0.166667,0,0.058824,0.065041,0.145455,0.070175,0.1,0.135135,0.142857,0.081633,0.674157,0.666667,0
0.291667,0,0.245098,0.252033,0.327273,0.22807,0.133333,0.189189,0.285714,0.214286,0.479401,0.666667,0
0.083333,0.301887,0.313725,0.317073,0.127273,0.403509,0.5,0.081081,0.380952,0.306122,0.344569,0.153846,0
0.291667,0.150943,0.245098,0.235772,0.109091,0.210526,0.266667,0.081081,0.238095,0.316327,0.674157,0.666667,1
0.25,0.264151,0.117647,0.130081,0.090909,0.175439,0.2,0.135135,0.238095,0.122449,0.835206,0.666667,0
0.5,0,0.088235,0.203252,0.327273,0.122807,0.066667,0.27027,0.190476,0.204082,0.573034,0.666667,0
