AGE,W,L,FG3A,OREB,DREB,TOV,PF,PFD,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.208333,0.30137,0.394366,0.227273,0.054545,0.096491,0.192982,0.2,0.153061,0.531516,0.666667,1
0.291667,0.356164,0.464789,0.30303,0.054545,0.087719,0.298246,0.316667,0.214286,0.475298,0.666667,0
0.291667,0.287671,0.28169,0,0.254545,0.236842,0.140351,0.383333,0.071429,0.534923,0.666667,0
0.291667,0.273973,0.43662,0.05303,0.036364,0.087719,0.140351,0.2,0.122449,0.478705,0.666667,0
0.5,0.616438,0.394366,0.340909,0.181818,0.307018,0.263158,0.466667,0.153061,0.553663,0.666667,0
0.25,0.561644,0.507042,0.007576,0.436364,0.614035,0.263158,0.416667,0.234694,0.53322,0.666667,0
0.291667,0.534247,0.605634,0,0.527273,0.596491,0.22807,0.483333,0.316327,0.488927,0.666667,0
0.333333,0.287671,0.704225,0.030303,0.145455,0.192982,0.157895,0.333333,0.163265,0.488927,0.666667,0
0.041667,0.424658,0.704225,0.136364,0.163636,0.210526,0.22807,0.25,0.112245,0.483816,0.666667,0
0.166667,0.082192,0.394366,0.075758,0.090909,0.157895,0.087719,0.35,0.061224,0.526405,0.666667,0
0.208333,0.219178,0.56338,0.068182,0.2,0.184211,0.175439,0.283333,0.112245,0.439523,0.666667,0
0.375,0.534247,0.549296,0.022727,0.454545,0.491228,0.561404,0.583333,0.622449,0.536627,0.666667,0
0.208333,0.273973,0.732394,0,0.472727,0.333333,0.175439,0.616667,0.22449,0.492334,0.666667,0
0.375,0.109589,0.323944,0.007576,0.581818,0.570175,0.22807,0.466667,0.285714,0.429302,0.666667,0
0.208333,0.287671,0.605634,0.022727,0.527273,0.473684,0.473684,0.466667,0.367347,0.458262,0.666667,1
0.333333,0.493151,0.43662,0.204545,0.163636,0.429825,0.368421,0.266667,0.377551,0.563884,0.025641,0
0.666667,0.643836,0.478873,0.037879,0.218182,0.219298,0.421053,0.35,0.285714,0.575809,0.666667,0
0.25,0.260274,0.661972,0.257576,0.2,0.359649,0.403509,0.4,0.459184,0.441227,0.666667,0
0.458333,0.452055,0.43662,0.113636,0.290909,0.307018,0.315789,0.3,0.316327,0.51448,0.666667,0
0.5,0.315068,0.43662,0.166667,0.072727,0.245614,0.157895,0.316667,0.112245,0.478705,0.666667,0
0.291667,0.383562,0.521127,0.007576,0.563636,0.701754,0.333333,0.55,0.377551,0.526405,0.666667,1
0.166667,0.493151,0.253521,0,0.563636,0.552632,0.245614,0.433333,0.285714,0.586031,0.666667,0
0.25,0.356164,0.464789,0,0.454545,0.421053,0.175439,0.566667,0.091837,0.454855,0.666667,0
0.208333,0.027397,0.042254,0.060606,0,0.017544,0.245614,0,0.020408,0.48552,0.666667,0
0.666667,0.123288,0.661972,0.356061,0.272727,0.45614,0.245614,0.4,0.377551,0.412266,0.666667,0
0.708333,0.273973,0.183099,0.090909,0.036364,0.114035,0.210526,0.25,0.040816,0.528109,0.666667,0
0.25,0.232877,0.577465,0.340909,0.109091,0.201754,0.157895,0.383333,0.132653,0.487223,0.666667,0
0.708333,0.246575,0.760563,0.242424,0.090909,0.22807,0.192982,0.25,0.153061,0.451448,0.666667,0
0.083333,0.150685,0.408451,0.007576,0.2,0.254386,0.22807,0.266667,0.183673,0.463373,0.666667,0
0.291667,0.164384,0.746479,0.136364,0.254545,0.27193,0.140351,0.366667,0.22449,0.502555,0.666667,0
0.333333,0.027397,0.070423,0.045455,0.054545,0.008772,0.017544,0.066667,0.010204,0.465077,0.666667,0
0.708333,0.013699,0.042254,0.037879,0,0.114035,0.052632,0,0.081633,0.574106,0.666667,1
0.708333,0.739726,0.267606,0,0.309091,0.324561,0.175439,0.366667,0.102041,0.553663,0.666667,0
0.125,0.273973,0.253521,0.022727,0.054545,0.061404,0.175439,0.133333,0.061224,0.512777,0.666667,0
