AGE,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,All_Star_Selection
0.208333,0.30137,0.394366,0.362587,0.2,0.261224,0.150943,0.227273,0.107843,0.130081,0.054545,0.096491,0.188034,0.192982,0.2,0,0.095238,0.2,0.153061,0.180055,0.531516,0.22884,0,0,0.503401,0.450777,0.382504,0.476684,0.481788,0.436742,0.350671,0.705373,0.265107,0.171123,0.467836,0.429889,0.386447,0.581181,0.624101,0.632302,0.639316,0.211268,0.357522,0.374322,0.809249,0.572761,0.600343,0.349911,0.41136,0.264901,0.451987,0.835206,0.666667,1
0.291667,0.356164,0.464789,0.498845,0.321739,0.404082,0.226415,0.30303,0.205882,0.195122,0.054545,0.087719,0.333333,0.298246,0.2,0.027027,0.333333,0.316667,0.214286,0.296399,0.475298,0.326019,0.025974,0,0.404762,0.390328,0.283019,0.47323,0.332781,0.259965,0.181208,0.674177,0.165692,0.096257,0.440546,0.190037,0.250916,0.053506,0.616906,0.664948,0.65641,0.075704,0.173451,0.37613,0.753372,0.113806,0.349914,0.230906,0.225473,0.622517,0.294702,0.573034,0.666667,0
0.291667,0.287671,0.28169,0.293303,0.121739,0.097959,0,0,0.039216,0.065041,0.254545,0.236842,0.034188,0.140351,0.1,0.081081,0.142857,0.383333,0.071429,0.085873,0.534923,0.18652,0.025974,0,0.557823,0.466321,0.530017,0.352332,0.549669,0.599653,0.63255,0.038128,0.60039,0.680927,0.60039,0.675277,0.608059,0.732472,0.17446,0.28866,0.225641,0.660211,0.511504,0.663653,0.427746,0.501866,0.205832,0.616341,0.621343,0.238411,0.538079,0.573034,0.666667,0
0.291667,0.273973,0.43662,0.323326,0.13913,0.146939,0.018868,0.05303,0.088235,0.105691,0.036364,0.087719,0.136752,0.140351,0.2,0,0.190476,0.2,0.122449,0.116343,0.478705,0.180251,0,0,0.498299,0.481865,0.327616,0.540587,0.518212,0.563258,0.545302,0.455806,0.48538,0.418895,0.569201,0.47786,0.483516,0.45941,0.690647,0.649485,0.671795,0.302817,0.477876,0.34358,0.818882,0.397388,0.610635,0.468917,0.550775,0.607616,0.55298,0.835206,0.666667,0
0.5,0.616438,0.394366,0.52194,0.330435,0.37551,0.301887,0.340909,0.117647,0.130081,0.181818,0.307018,0.119658,0.263158,0.166667,0.027027,0.285714,0.466667,0.153061,0.290859,0.553663,0.327586,0.012987,0,0.234694,0.117444,0.382504,0.196891,0.307947,0.242634,0.197987,0.551127,0.064327,0.049911,0.263158,0.389299,0.388278,0.457565,0.258993,0.180412,0.189744,0.348592,0.212389,0.403255,0.626204,0.190299,0.092624,0.351687,0.234079,0.15894,0.289735,0.674157,0.666667,0
0.25,0.561644,0.507042,0.806005,0.582609,0.489796,0,0.007576,0.186275,0.195122,0.436364,0.614035,0.299145,0.263158,0.266667,0.27027,0.238095,0.416667,0.234694,0.423823,0.53322,0.592476,0.467532,0,0.173469,0.164076,0.209262,0.307427,0.059603,0.058925,0.104027,0.051993,0.567251,0.590018,0.011696,0.219557,0.238095,0.254613,0.06295,0.017182,0.02906,0.091549,0.2,0.249548,0.078998,0.302239,0.15952,0.204263,0.098107,0.263245,0.039735,0.029963,0.666667,0
0.291667,0.534247,0.605634,0.82448,0.695652,0.657143,0,0,0.264706,0.284553,0.527273,0.596491,0.153846,0.22807,0.2,0.513514,0.52381,0.483333,0.316327,0.515235,0.488927,0.647335,0.480519,0,0.001701,0.198618,0.111492,0.42487,0.044702,0.019064,0.030201,0.181976,0.60039,0.680927,0.60039,0.132841,0.130037,0.370849,0.032374,0.020619,0.020513,0.272887,0.274336,0.38698,0.015414,0.031716,0.06175,0.111901,0.046472,0.556291,0.028146,0.022472,0.666667,0
0.333333,0.287671,0.704225,0.445727,0.252174,0.24898,0.018868,0.030303,0.147059,0.162602,0.145455,0.192982,0.076923,0.157895,0.166667,0.054054,0.142857,0.333333,0.163265,0.204986,0.488927,0.246082,0,0,0.282313,0.466321,0.042882,0.651123,0.389073,0.362218,0.369128,0.232236,0.528265,0.472371,0.573099,0.298893,0.300366,0.313653,0.368705,0.388316,0.379487,0.478873,0.446018,0.435805,0.579961,0.449627,0.334477,0.342806,0.363167,0.554636,0.427152,0.835206,0.666667,0
0.041667,0.424658,0.704225,0.408776,0.173913,0.204082,0.113208,0.136364,0.107843,0.121951,0.163636,0.210526,0.059829,0.22807,0.233333,0.081081,0.238095,0.25,0.112245,0.155125,0.483816,0.231975,0,0,0.054422,0.326425,0.042882,0.556131,0.423841,0.481802,0.427852,0.646447,0.339181,0.292335,0.39961,0.404059,0.435897,0.319188,0.302158,0.350515,0.329915,0.519366,0.279646,0.280289,0.406551,0.309701,0.524871,0.474245,0.44062,0.574503,0.445364,0.835206,0.666667,0
0.166667,0.082192,0.394366,0.226328,0.147826,0.159184,0.075472,0.075758,0.039216,0.04065,0.090909,0.157895,0.025641,0.087719,0.1,0.162162,0.047619,0.35,0.061224,0.116343,0.526405,0.184953,0,0,0.605442,0.702936,0.382504,0.756477,0.622517,0.530329,0.521812,0.400347,0.407407,0.385027,0.274854,0.695572,0.712454,0.48524,0.510791,0.474227,0.494017,0.704225,0.635398,0.607595,0.217726,0.701493,0.281304,0.671403,0.552496,0.296358,0.543046,0.835206,0.666667,0
0.208333,0.219178,0.56338,0.457275,0.191304,0.191837,0.056604,0.068182,0.127451,0.130081,0.2,0.184211,0.059829,0.175439,0.233333,0.081081,0.333333,0.283333,0.112245,0.163435,0.439523,0.239812,0,0,0.452381,0.569948,0.152659,0.66494,0.38245,0.457539,0.451342,0.306759,0.426901,0.395722,0.339181,0.350554,0.379121,0.293358,0.241007,0.402062,0.336752,0.542254,0.39646,0.289331,0.38921,0.132463,0.454545,0.488455,0.432014,0.720199,0.437086,0.835206,0.666667,0
0.375,0.534247,0.549296,0.845266,0.826087,0.77551,0.018868,0.022727,0.598039,0.626016,0.454545,0.491228,0.222222,0.561404,0.3,0.513514,0.714286,0.583333,0.622449,0.700831,0.536627,0.72884,0.337662,0,0.151361,0.198618,0.171527,0.369603,0.031457,0.001733,0.008389,0.157712,0.473684,0.491979,0.044834,0.012915,0.014652,0.265683,0.055755,0.061856,0.051282,0.160211,0.017699,0.18264,0.011561,0.001866,0.006861,0.005329,0.008606,0.235099,0.004967,0.089888,0.666667,0
0.208333,0.273973,0.732394,0.588915,0.33913,0.281633,0,0,0.176471,0.178862,0.472727,0.333333,0.094017,0.175439,0.233333,0.324324,0.333333,0.616667,0.22449,0.265928,0.492334,0.409091,0.142857,0,0.255102,0.481865,0.034305,0.675302,0.251656,0.230503,0.32047,0.034662,0.60039,0.659537,0.60039,0.243542,0.272894,0.276753,0.048561,0.154639,0.100855,0.424296,0.412389,0.271248,0.057803,0.13806,0.001715,0.218472,0.275387,0.511589,0.183775,0.209738,0.666667,0
0.375,0.109589,0.323944,0.736721,0.321739,0.285714,0,0.007576,0.166667,0.211382,0.581818,0.570175,0.128205,0.22807,0.3,0.324324,0.333333,0.466667,0.285714,0.252078,0.429302,0.473354,0.090909,0,0.613946,0.673575,0.476844,0.694301,0.125828,0.263432,0.315436,0.086655,0.60039,0.575758,0.60039,0.247232,0.217949,0.581181,0.016187,0.030928,0.018803,0.332746,0.272566,0.200723,0.055877,0.134328,0.084048,0.154529,0.292599,0.735099,0.125828,0.307116,0.666667,0
0.208333,0.287671,0.605634,0.778291,0.582609,0.612245,0.018868,0.022727,0.333333,0.357724,0.527273,0.473684,0.196581,0.473684,0.5,0.216216,0.571429,0.466667,0.367347,0.465374,0.458262,0.573668,0.220779,0,0.360544,0.466321,0.111492,0.620035,0.086093,0.060659,0.045302,0.393414,0.520468,0.499109,0.530214,0.077491,0.082418,0.311808,0.034173,0.070447,0.046154,0.205986,0.038938,0.025316,0.123314,0.020522,0.070326,0.0746,0.070568,0.690397,0.054636,0.153558,0.666667,1
0.333333,0.493151,0.43662,0.845266,0.434783,0.461224,0.169811,0.204545,0.303922,0.365854,0.163636,0.429825,0.538462,0.368421,0.5,0.162162,0.142857,0.266667,0.377551,0.390582,0.563884,0.57837,0.142857,0.071429,0.329932,0.248705,0.327616,0.298791,0.029801,0.136915,0.129195,0.389948,0.231969,0.199643,0.331384,0.090406,0.076923,0.538745,0.307554,0.089347,0.119658,0.033451,0.104425,0.03255,0.208092,0.445896,0.473413,0.069272,0.120482,0.110927,0.049669,0.209738,0.025641,0
0.666667,0.643836,0.478873,0.750577,0.417391,0.42449,0,0.037879,0.303922,0.292683,0.218182,0.219298,0.598291,0.421053,0.466667,0.027027,0.333333,0.35,0.285714,0.351801,0.575809,0.504702,0.142857,0,0.054422,0.1019,0.252144,0.243523,0.110927,0.157712,0.16443,0.303293,0.538012,0.454545,0.588694,0.095941,0.120879,0.110701,0.223022,0.323024,0.282051,0.021127,0.063717,0.045208,0.606936,0.102612,0.291595,0.147425,0.16179,0.086093,0.10596,0.209738,0.666667,0
0.25,0.260274,0.661972,0.819861,0.695652,0.726531,0.226415,0.257576,0.421569,0.430894,0.2,0.359649,0.153846,0.403509,0.166667,0.189189,0.333333,0.4,0.459184,0.592798,0.441227,0.532915,0.025974,0,0.341837,0.499136,0.078902,0.663212,0.049669,0.02253,0.013423,0.372617,0.17154,0.14082,0.307992,0.046125,0.049451,0.190037,0.239209,0.132302,0.157265,0.278169,0.070796,0.41953,0.148362,0.100746,0.186964,0.044405,0.025818,0.716887,0.082781,0.573034,0.666667,0
0.458333,0.452055,0.43662,0.715935,0.347826,0.346939,0.113208,0.113636,0.323529,0.341463,0.290909,0.307018,0.25641,0.315789,0.433333,0.324324,0.285714,0.3,0.316327,0.3241,0.51448,0.471787,0.051948,0,0.360544,0.298791,0.327616,0.341969,0.145695,0.22357,0.229866,0.270364,0.335283,0.319073,0.216374,0.084871,0.084249,0.332103,0.151079,0.175258,0.160684,0.121479,0.139823,0.061483,0.063584,0.212687,0.423671,0.108348,0.189329,0.362583,0.127483,0.411985,0.666667,0
0.5,0.315068,0.43662,0.39261,0.191304,0.208163,0.150943,0.166667,0.088235,0.089431,0.072727,0.245614,0.068376,0.157895,0.1,0.081081,0.142857,0.316667,0.112245,0.168975,0.478705,0.221003,0.025974,0,0.465986,0.433506,0.327616,0.500864,0.445364,0.45234,0.422819,0.499133,0.276803,0.253119,0.270955,0.48155,0.516484,0.234317,0.609712,0.281787,0.358974,0.489437,0.460177,0.665461,0.445087,0.496269,0.38765,0.479574,0.42685,0.60596,0.465232,0.573034,0.666667,0
0.291667,0.383562,0.521127,0.810624,0.486957,0.465306,0,0.007576,0.147059,0.268293,0.563636,0.701754,0.17094,0.333333,0.233333,0.702703,0.285714,0.55,0.377551,0.354571,0.526405,0.617555,0.311688,0,0.348639,0.364421,0.200686,0.490501,0.056291,0.098787,0.127517,0.187175,0.60039,0.581105,0.60039,0.311808,0.14652,0.778598,0.023381,0.005155,0.008547,0.244718,0.120354,0.282098,0,0.223881,0.010292,0.067496,0.158348,0.301325,0.034768,0.101124,0.666667,1
0.166667,0.493151,0.253521,0.637413,0.382609,0.310204,0,0,0.254902,0.317073,0.563636,0.552632,0.119658,0.245614,0.133333,0.540541,0.285714,0.433333,0.285714,0.313019,0.586031,0.509404,0.220779,0,0.465986,0.248705,0.569468,0.162349,0.206954,0.192374,0.278523,0.029463,0.60039,0.680927,0.60039,0.156827,0.106227,0.603321,0.017986,0.042955,0.025641,0.357394,0.240708,0.567812,0.009634,0.197761,0.125214,0.145648,0.201377,0.066225,0.104305,0.153558,0.666667,0
0.25,0.356164,0.464789,0.542725,0.208696,0.183673,0,0,0.019608,0.04065,0.454545,0.421053,0.08547,0.175439,0.3,0.243243,0.095238,0.566667,0.091837,0.138504,0.454855,0.341693,0.038961,0,0.404762,0.390328,0.283019,0.47323,0.296358,0.419411,0.466443,0.074523,0.60039,0.680927,0.60039,0.776753,0.714286,0.798893,0.057554,0.09622,0.076923,0.448944,0.40708,0.19349,0.1079,0.576493,0.008576,0.541741,0.499139,0.69702,0.268212,0.479401,0.666667,0
